operation,mean_ms,stddev_ms,min_ms,max_ms,note
"KeyGen",455.415,0,455.415,455.415,"one-time"
"SS Setup",731.562,0,731.562,731.562,"one-time, switchValues=4"
"Encrypt scalar",49.5761,2.98319,44.8028,57.5733,""
"Encrypt vector",48.5435,3.22146,45.0352,57.497,"batchSize=16"
"Decrypt scalar",29.2722,1.81327,26.709,34.4151,""
"Decrypt vector",30.3045,1.8381,26.5749,35.0391,"batchSize=16"
"CKKS Add",1.91641,0.894005,1.39389,6.19623,""
"CKKS Multiply",86.0702,5.41906,76.8578,102.785,""
"CKKS Negate",2.20642,1.4364,1.29447,7.25153,""
"CKKS Rotate",47.8929,2.53233,42.6678,52.049,""
"3D Orientation value",170.862,5.83753,161.761,186.327,"2 Mult + 1 Sub"
"compareGreaterThanZero",3261.93,81.3539,3131.02,3423.73,"1 SS"
"isNearZeroBand",6467.35,127.711,6306.07,6657.77,"2 SS"
"compareGtZeroPacked",3149.23,51.6819,3100.42,3290.12,"1 SS batched 4 slots"
"Full intersection test",12029.4,868.847,10899.3,12797.5,"4 SS + boolean"
